	uniprot_ids	substrates
0	Q8GED9	cyclo(L-Glu-Gly)
1	Q8GED9	O2
2	Q8GED9	cyclo(L-Leu-Gly)
3	Q8GED9	O2
4	Q8GED9	cyclo(L-Leu-L-Ala)
5	Q8GED9	O2
6	Q8GED9	cyclo(L-Leu-L-Phe)
7	Q8GED9	O2
8	Q8GED9	cyclo(L-Leu-L-Phe)
9	Q8GED9	O2
10	Q8GED9	cyclo(L-Phe-Gly)
11	Q8GED9	O2
12	Q8GED9	cyclo(L-Phe-L-His)
13	Q8GED9	O2
14	Q8GED9	cyclo(L-Ser-Gly)
15	Q8GED9	O2
16	Q8GED9	cyclo(L-Trp-L-Trp)
17	Q8GED9	O2
18	Q8GED9	cyclo(L-leucyl-L-phenylalanyl)
19	Q8GED9	O2
20	Q8GED9	cyclo[(Z)-alpha,beta-didehydrophenylalanyl-L-leucyl]
21	Q8GED9	O2
22	Q8GED9	more
0	P32397	coproporphyrinogen III
1	P32397	O2
2	P32397	protoporphyrinogen IX
3	P32397	O2
0	P23184	a [protein]-(1S,4R)-2-(C-substituted-aminomethyl)-4-acyl-2-thiazoline
1	P23184	O2
2	P23184	a [protein]-(S,S)-2-(C-substituted-aminomethyl)-4-acyl-2-oxazoline
3	P23184	O2
4	Q52QJ1	more
5	P23185	a [protein]-(1S,4R)-2-(C-substituted-aminomethyl)-4-acyl-2-thiazoline
6	P23185	O2
7	P23185	a [protein]-(S,S)-2-(C-substituted-aminomethyl)-4-acyl-2-oxazoline
8	P23185	O2
9	P23185	more
10	P23185	a [protein]-(S S)-2-(C-substituted-aminomethyl)-4-acyl-5-methyl-2-oxazoline
11	P23185	O2
0	P36553	coproporphyrinogen-III
1	P36553	O2
2	Q9LR75	coproporphyrinogen-III
3	Q9LR75	O2
4	Q9LR75	coproporphyrinogen III
5	Q9LR75	O2
6	Q9LR75	H+
7	P36551	coproporphyrinogen-III
8	P36551	O2
9	P36551	coproporphyrinogen-III
10	P36551	O2
11	P36551	coproporphyrinogen III
12	P36551	O2
13	P36551	2 H+
14	P36551	harderoporphyrinogen
15	P36551	O2
16	P36551	H+
17	P36551	harderoporphyrinogen
18	P36551	O2
19	P36551	mesoporphyrinogen-VI
20	P36551	O2
21	P36551	H+
22	P36551	mesoporphyrinogen-VI
23	P36551	O2
24	P11353	more
25	P11353	coproporphyrinogen III
26	P11353	O2
27	G3XZT7	coproporphyrinogen III
28	G3XZT7	O2
29	G3XZT7	2 H+
30	P36552	coproporphyrinogen III
31	P36552	O2
32	P36552	2 H+
0	P32397	more
1	P32397	protoporphyrinogen IX
2	P32397	3 O2
3	P32397	protoporphyrinogen-IX
4	P32397	3 O2
5	P32397	protoporphyrinogen-IX
6	P32397	3 O2
7	P32397	protoporphyrinogen IX
8	P32397	O2
9	P32397	protoporphyrinogen IX
10	P32397	3 O2
11	O24163	protoporphyrinogen-IX
12	O24163	3 O2
13	O24163	protoporphyrinogen-IX
14	O24163	3 O2
15	P56601	protoporphyrinogen IX
16	P56601	3 O2
17	P56601	protoporphyrinogen-IX
18	P56601	3 O2
19	P56601	protoporphyrinogen-IX
20	P56601	3 O2
21	P56601	protoporphyrinogen IX
22	P56601	3 O2
23	P50336	more
24	P50336	protoporphyrinogen IX
25	P50336	3 O2
26	P50336	protoporphyrinogen-IX
27	P50336	3 O2
28	P50336	protoporphyrinogen-IX
29	P50336	3 O2
30	Q0NZW6	protoporphyrinogen IX
31	Q0NZW6	3 O2
32	Q0NZW5	protoporphyrinogen IX
33	Q0NZW5	3 O2
34	P72793	protoporphyrinogen IX
35	P72793	3 O2
36	O24164	more
37	O24164	protoporphyrinogen IX
38	O24164	3 O2
39	O24164	protoporphyrinogen-IX
40	O24164	3 O2
41	O24164	protoporphyrinogen-IX
42	O24164	3 O2
43	P55826	more
44	Q4QIU7	more
45	Q4QIU7	protoporphyrinogen IX
46	Q4QIU7	3 O2
0	Q12737	bilirubin
1	Q12737	O2
2	Q12737	bilirubin
3	Q12737	O2
4	Q12737	ferricyanide
5	Q12737	O2
6	Q12737	2 bilirubin
7	Q12737	O2
8	Q12737	more
9	Q12737	2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid)
10	Q12737	O2
11	Q9UVY4	2 bilirubin
12	Q9UVY4	O2
13	Q9UVY4	more
14	P07788	2 bilirubin
15	P07788	O2
16	P07788	more
17	Q65MU7	2 bilirubin
18	Q65MU7	O2
19	Q65MU7	more
20	A8FAG9	2,6-dimethoxyphenol
21	A8FAG9	O2
22	A8FAG9	2 bilirubin
23	A8FAG9	O2
24	A8FAG9	more
25	A8FAG9	2,2'-azino-bis(3-ethylbenzothiazoline-6-sulfonic acid)
26	A8FAG9	O2
0	Q8HYL8	palmitoyl-CoA
1	Q8HYL8	O2
2	Q8HYL8	palmitoyl-CoA
3	Q8HYL8	O2
4	Q8HYL8	more
5	Q33DR0	palmitoyl-CoA
6	Q33DR0	O2
7	Q33DR0	palmitoyl-CoA
8	Q33DR0	O2
9	Q33DR0	more
10	Q33DR0	myristoyl-CoA
11	Q33DR0	O2
12	Q33DR0	myristoyl-CoA
13	Q33DR0	O2
14	Q96329	acyl-CoA
15	Q96329	O2
16	O65202	acyl-CoA
17	O65202	O2
18	O65202	jasmonic acid-CoA
19	O65202	O2
20	O65202	myristoyl-CoA
21	O65202	O2
22	O65202	myristoyl-CoA
23	O65202	O2
24	O65201	acyl-CoA
25	O65201	O2
26	O65201	octadecanoyl-CoA
27	O65201	O2
28	P0CZ23	dodecanoyl-CoA
29	P0CZ23	O2
30	P0CZ23	acyl-CoA
31	P0CZ23	O2
32	P0CZ23	hexanoyl-CoA
33	P0CZ23	O2
34	Q9ZQP2	acyl-CoA
35	Q9ZQP2	O2
36	O74935	dodecanoyl-CoA
37	O74935	O2
38	O74935	more
39	O74935	decanoyl-CoA
40	O74935	O2
41	O74935	hexadecanedioyl-CoA
42	O74935	O2
43	O74935	myristoyl-CoA
44	O74935	O2
45	O74935	myristoyl-CoA
46	O74935	O2
47	P07872	acyl-CoA
48	P07872	O2
49	P07872	lauroyl-CoA
50	P07872	O2
51	J7K6M3	acyl-CoA
52	J7K6M3	O2
53	J7K6M3	more
54	A8J3M3	acyl-CoA
55	A8J3M3	O2
56	A8J3M3	more
57	O62140	acyl-CoA
58	O62140	O2
59	O62137	acyl-CoA
60	O62137	O2
61	O62138	acyl-CoA
62	O62138	O2
0	E3WDH1	more
1	E3WDH1	(S)-tetrahydroberberine
2	E3WDH1	2 O2
3	G0XRK4	(S)-tetrahydroberberine
4	G0XRK4	2 O2
0	U5NDT8	loganin
1	U5NDT8	NADPH
2	U5NDT8	H+
3	U5NDT8	O2
4	U5NDT8	more
0	Q8LBZ7	succinate
1	Q8LBZ7	acceptor
2	Q8LB02	succinate
3	Q8LB02	acceptor
4	P21912	succinate
5	P21912	ubiquinone
6	P21912	succinate
7	P21912	ubiquinone
8	Q99643	succinate
9	Q99643	ubiquinone
10	Q99643	succinate
11	Q99643	ubiquinone
12	Q920L2	more
13	Q6DLZ3	succinate
14	Q6DLZ3	FAD
15	Q6DLZ2	succinate
16	Q6DLZ2	FAD
17	Q09545	more
18	P77943	succinate
19	P77943	caldariellaquinone
20	P77943	succinate
21	P77943	caldariellaquinone
22	P77943	succinate
23	P77943	ferrocyanide
24	P77943	succinate
25	P77943	oxidized N,N,N',N'-tetramethyl-4-phenylenediamine
26	P77943	succinate
27	P77943	oxidized phenazine methosulfate
28	P77943	succinate
29	P77943	oxidized 2,6-dichlorophenolindophenol
30	P77943	succinate
31	P77943	oxidized 2,6-dichlorophenolindophenol
32	O73937	succinate
33	O73937	caldariellaquinone
