	uniprot_ids	substrates
0	Q5SLK3	more
0	P39639	3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
1	P39639	3-[(4R)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
2	P39639	3-[(4S)-4-hydroxycyclohexa-1,5-dien-1-yl]-2-oxopropanoate
0	P61615	isopentenyl diphosphate
1	P61615	isopentenyl diphosphate
2	P61615	more
3	P50740	isopentenyl diphosphate
4	P50740	isopentenyl diphosphate
5	Q13907	isopentenyl diphosphate
6	Q13907	isopentenyl diphosphate
7	Q46822	isopentenyl diphosphate
8	Q46822	isopentenyl diphosphate
9	Q46822	more
10	A9LRT7	isopentenyl diphosphate
11	A9LRT7	isopentenyl diphosphate
12	O35760	isopentenyl diphosphate
13	O35760	isopentenyl diphosphate
14	O35586	isopentenyl diphosphate
15	O35586	isopentenyl diphosphate
16	A0A067K3N5	isopentenyl diphosphate
17	A0A067K3N5	isopentenyl diphosphate
18	A0A067ZIC8	isopentenyl diphosphate
19	A0A067ZIC8	isopentenyl diphosphate
20	P15496	isopentenyl diphosphate
21	P15496	isopentenyl diphosphate
22	H6VLF2	isopentenyl diphosphate
23	H6VLF2	isopentenyl diphosphate
24	B2ILS5	isopentenyl diphosphate
25	B2ILS5	isopentenyl diphosphate
0	P14604	a (3E,5Z)-alka-3,5-dienoyl-CoA
1	P14604	more
2	Q62651	a (3E,5Z)-alka-3,5-dienoyl-CoA
3	Q62651	3-trans,5-cis-dienoyl-CoA
0	Q16518	lutein
1	Q9YGX2	lutein
0	C5MR75	(S)-5-oxo-2,5-dihydrofuran-2-acetate
1	C5MR75	3-methylmuconolactone
2	C5MR75	muconolactone
0	Q15125	zymosterol
1	Q15125	zymosterol
2	Q15125	5alpha-cholesta-8,24-dien-3beta-ol
3	Q15125	more
4	Q15125	26,27-dehydrozymosterol
5	Q15125	26,27-dinorcholesta-8,24-dienol
6	Q15125	26-homo-cholesta-8(9),23(24) E26(26')-trienol
7	Q15125	cholest-8-enol
8	Q15125	fecosterol
9	Q9JJ46	5alpha-cholest-7-en-3beta-ol
0	Q0QLE6	itaconate
1	Q0QLE6	methylitaconate
0	Q8EJW4	trans-Aconitate
1	Q8EJW4	trans-Aconitate
2	Q8EJW4	4-methyl-cis-aconitate
3	A0A0A1H8I4	trans-Aconitate
4	A0A0A1H8I4	trans-Aconitate
5	A0A0A1H8I4	cis-aconitate
6	A0A0A1H8I4	more
0	P23965	more
1	P23965	3-trans-Hexenoyl-CoA
2	P42126	more
3	Q05871	more
