	uniprot_ids	substrates
0	Q9Y2T3	guanine
1	Q9Y2T3	H2O
2	Q9Y2T3	guanine
3	Q9Y2T3	H2O
4	Q9Y2T3	guanine
5	Q9Y2T3	H2O
6	Q9Y2T3	more
7	Q9Y2T3	ammelide
8	Q9Y2T3	H2O
9	Q9Y2T3	ammeline
10	Q9Y2T3	H2O
11	Q82Y41	guanine
12	Q82Y41	H2O
13	Q82Y41	guanine
14	Q82Y41	H2O
15	Q82Y41	guanine
16	Q82Y41	H2O
17	Q82Y41	ammeline
18	Q82Y41	H2O
19	P76641	guanine
20	P76641	H2O
21	P76641	guanine
22	P76641	H2O
23	P76641	guanine
24	P76641	H2O
25	P76641	more
26	P76641	1-methylguanine
27	P76641	H2O
28	P76641	ammeline
29	P76641	H2O
30	P76641	8-azaguanine
31	P76641	H2O
32	Q07729	guanine
33	Q07729	H2O
34	Q07729	guanine
35	Q07729	H2O
36	Q07729	guanine
37	Q07729	H2O
38	Q07729	ammeline
39	Q07729	H2O
0	Q57872	more
1	Q57872	dCTP
2	Q57872	H2O
3	Q9KFV3	dCTP
4	Q9KFV3	H2O
0	Q9X034	S-methyl-5'-thioadenosine
1	Q9X034	H2O
2	Q9X034	adenosine
3	Q9X034	H2O
4	Q58936	S-methyl-5'-thioadenosine
5	Q58936	H2O
6	Q58936	adenosine
7	Q58936	H2O
8	Q9HZ64	S-methyl-5'-thioadenosine
9	Q9HZ64	H2O
10	Q9HZ64	adenosine
11	Q9HZ64	H2O
12	Q9HZ64	more
0	Q9I6Z0	guanine
1	Q9I6Z0	H2O
2	Q9I6Z0	isocytosine
3	Q9I6Z0	H2O
4	Q9I6Z0	8-oxoguanine
5	Q9I6Z0	H2O
6	Q9I6Z0	ammeline
7	Q9I6Z0	H2O
8	Q9I6Z0	more
0	A9CK16	adenine34 in tRNAArg
1	A9CK16	H2O
2	P47058	adenine34 in tRNAArg
3	P47058	H2O
4	P47058	adenine34 in tRNA
5	P47058	H2O
6	P47058	adenine34 in tRNAAla(AGC)
7	P47058	H2O
8	P47058	adenine34 in tRNASer(AGA)
9	P47058	H2O
10	O67050	adenine34 in tRNAArg2
11	O67050	H2O
12	Q9S7I0	adenine34 in tRNAArg
13	Q9S7I0	H2O
14	P68398	adenine34 in tRNAArg
15	P68398	H2O
0	Q9V3R6	adenine37 in tRNAAla
1	Q9V3R6	H2O
2	Q9BUB4	adenine37 in tRNAAla
3	Q9BUB4	H2O
4	P53065	adenine37 in tRNAAla
5	P53065	H2O
0	Q8TWU6	cytosine8 in tRNA
1	Q8TWU6	H2O
0	P41238	cytosine6666 in apolipoprotein B mRNA
1	P41238	H2O
2	P41238	more
3	P51908	cytosine6666 in apolipoprotein B mRNA
4	P51908	H2O
5	P51908	more
6	P51908	cytosine in RNA
7	P51908	H2O
8	P51908	cytosine in single-stranded DNA
9	P51908	H2O
10	P38483	cytosine6666 in apolipoprotein B mRNA
11	P38483	H2O
12	P38483	more
13	P38483	cytosine in single-stranded DNA
14	P38483	H2O
15	P38483	5-methylcytosine in single-stranded DNA
16	P38483	H2O
17	Q9TUI7	cytosine6666 in apolipoprotein B mRNA
18	Q9TUI7	H2O
19	B2NIW5	more
20	P47855	cytosine6666 in apolipoprotein B mRNA
21	P47855	H2O
22	P47855	more
23	Q9EQP0	more
0	P41238	more
1	P55265	adenine in double-stranded RNA
2	P55265	H2O
3	P55265	more
4	P78563	adenine in double-stranded RNA
5	P78563	H2O
0	Q96AK3	cytosine in single-stranded DNA
1	Q96AK3	H2O
2	Q6NTF7	cytosine in single-stranded DNA
3	Q6NTF7	H2O
4	Q9WVE0	cytosine in single-stranded DNA
5	Q9WVE0	H2O
6	Q2PT36	cytosine in single-stranded DNA
7	Q2PT36	H2O
8	D5GRW1	more
9	Q3BAF8	cytosine in single-stranded DNA
10	Q3BAF8	H2O
11	A0A4Y5QRZ7	more
12	A0A4Y5QRZ7	cytosine in single-stranded DNA
13	A0A4Y5QRZ7	H2O
14	Q8IUX4	cytosine in single-stranded DNA
15	Q8IUX4	H2O
16	Q9HC16	cytosine in single-stranded DNA
17	Q9HC16	H2O
18	Q9HC16	5-methylcytosine in single-stranded DNA
19	Q9HC16	H2O
20	P31941	cytosine in single-stranded DNA
21	P31941	H2O
22	Q9UH17	cytosine in single-stranded DNA
23	Q9UH17	H2O
24	Q9NRW3	cytosine in single-stranded DNA
25	Q9NRW3	H2O
26	Q9GZX7	cytosine in single-stranded DNA
27	Q9GZX7	H2O
0	Q58185	GDP
1	Q58185	H2O
2	Q58185	GTP
3	Q58185	H2O
4	Q58185	GTP-gamma-S
5	Q58185	H2O
6	Q58185	beta,gamma-methylene-GTP
7	Q58185	H2O
8	Q58185	more
0	Q9P6I7	adenosine
1	Q9P6I7	H2O
2	Q9P6I7	adenosine
3	Q9P6I7	H2O
4	Q9P6I7	ATP
5	Q9P6I7	H2O
6	Q9P6I7	ATP
7	Q9P6I7	H2O
8	Q9P6I7	adenine
9	Q9P6I7	H2O
10	Q9P6I7	N6-isopentenyladenosine
11	Q9P6I7	H2O
12	Q9P6I7	adenosine 3'-phosphate
13	Q9P6I7	H2O
14	P53909	adenosine
15	P53909	H2O
16	P53909	adenosine
17	P53909	H2O
18	P53909	ATP
19	P53909	H2O
20	P53909	ATP
21	P53909	H2O
22	P53909	adenosine 3'-phosphate
23	P53909	H2O
24	P53909	N6-isopentenyladenosine
25	P53909	H2O
26	P56658	adenosine
27	P56658	H2O
28	P56658	adenosine
29	P56658	H2O
30	P56658	2',3'-O-isopropylidenadenosine
31	P56658	H2O
32	P56658	2',3'-O-methoxymethylideneadenosine
33	P56658	H2O
34	P03958	adenosine
35	P03958	H2O
