	uniprot_ids	substrates
0	Q0D9C4	2 H2O2
1	Q0D9C4	2 H2O2
2	A5XB38	H2O2
3	P04040	H2O2
4	A8CFD3	H2O2
5	Q5LLG6	H2O2
6	Q6RSH8	H2O2
7	P04762	H2O2
8	D7RJ66	H2O2
9	Q9C168	H2O2
10	Q9AQQ9	H2O2
11	Q9XHH3	H2O2
12	P00432	2 H2O2
13	P00432	2 H2O2
14	P08303	more
15	P08303	2 H2O2
16	P08303	2 H2O2
17	A0S5U0	2 H2O2
18	A0S5U0	2 H2O2
19	A0A0T6DN91	2 H2O2
20	A0A0T6DN91	2 H2O2
21	A3REN3	2 H2O2
22	A3REN3	2 H2O2
23	C8XTA9	2 H2O2
24	C8XTA9	2 H2O2
25	Q6R2J1	2 H2O2
26	Q6R2J1	2 H2O2
27	L8B3D7	2 H2O2
28	L8B3D7	2 H2O2
29	A0A0C4Y3B2	2 H2O2
30	A0A023UHK6	more
31	A0A023UHK6	2 H2O2
32	A0A023UHK6	2 H2O2
33	A0A0C5CN62	2 H2O2
34	A0A0C5CN62	2 H2O2
35	P26901	2 H2O2
36	A0A067L5U2	2 H2O2
37	A0A067L5U2	2 H2O2
38	Q8X182	H2O2
39	Q9C4N4	H2O2
40	O93662	H2O2
41	Q6LA34	H2O2
42	Q8X220	H2O2
43	Q8L2Z7	H2O2
0	Q9LEH3	guaiacol
1	Q9LEH3	H2O2
2	Q9LEH3	guaiacol
3	Q9LEH3	H2O2
4	Q9LEH3	o-dianisidine
5	Q9LEH3	H2O2
6	Q9LEH3	2,2'-azino-bis-(3-ethyl-6-benzothiazolinsulfonate)
7	Q9LEH3	H2O2
8	Q9LEH3	iodide
9	Q9LEH3	H2O2
10	O22443	guaiacol
11	O22443	H2O2
12	O22443	guaiacol
13	O22443	H2O2
14	P0A862	reduced thioredoxin 1
15	P0A862	H2O2
16	P0A862	reduced thioredoxin 1
17	P0A862	cumene hydroperoxide
18	Q55080	AmplexRed
19	Q55080	H2O2
20	Q55080	AmplexRed
21	Q55080	cumene hydroperoxide
22	Q55080	AmplexRed
23	Q55080	tert-butyl hydroperoxide
24	Q55080	cis-beta-methylstyrene
25	Q55080	H2O
26	Q55080	cis-stilbene
27	Q55080	H2O
28	Q55080	styrene
29	Q55080	H2O2
30	Q55080	more
31	A0A0A0Y4H8	catechol
32	A0A0A0Y4H8	H2O2
33	A0A0A0Y4H8	o-dianisidine
34	A0A0A0Y4H8	H2O2
35	A0A0A0Y4H8	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
36	A0A0A0Y4H8	H2O2
37	A0A0A0Y4H8	guaiacol
38	A0A0A0Y4H8	H2O2
39	A0A0A0Y4H8	pyrogallol
40	A0A0A0Y4H8	H2O2
41	A0A0A0Y4H8	more
42	A0A0A0Y4H8	o-phenylenediamine
43	A0A0A0Y4H8	H2O2
44	Q5F809	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
45	Q5F809	H2O2
46	Q5F809	more
47	Q9NAV8	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
48	Q9NAV8	H2O2
49	Q9NAV8	2,4,6-tribromophenol
50	Q9NAV8	H2O2
51	Q9NAV8	2,4,6-trichlorophenol
52	Q9NAV8	H2O2
53	K7ZWW6	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
54	K7ZWW6	H2O2
55	K7ZW28	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
56	K7ZW28	H2O2
57	K7ZW57	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
58	K7ZW57	H2O2
59	P80679	2,2'-azino-bis (3-ethylbenzthiazoline-6-sulphonic acid)
60	P80679	H2O2
61	P80679	phenol
62	P80679	H2O2
63	P80679	2 guaiacol
64	P80679	H2O2
65	O94753	Mn2+
66	O94753	H2O2
67	O94753	Reactive Black 5
68	O94753	H2O2
69	O94753	veratryl alcohol
70	O94753	H2O2
71	A2A1C5	more
72	A2A1C5	ubiquinol-1
73	A2A1C5	H2O2
74	A2A1C5	ubiquinol-1
75	A2A1C5	H2O2
76	P84714	guaiacol
77	P84714	H2O2
78	P84714	guaiacol
79	P84714	H2O2
80	P84714	more
81	Q0VYC8	guaiacol
82	Q0VYC8	H2O2
83	Q0VYC8	guaiacol
84	Q0VYC8	H2O2
85	Q8RVW0	guaiacol
86	Q8RVW0	H2O2
87	Q8RVW0	guaiacol
88	Q8RVW0	H2O2
89	Q8RVW0	chlorogenic acid
90	Q8RVW0	H2O2
91	Q8RVW0	4-methylcatechol
92	Q8RVW0	H2O2
93	Q8RVW0	benzoic acid
94	Q8RVW0	H2O2
95	Q8RVW0	catechin
96	Q8RVW0	H2O2
97	Q8RVW0	tetramethylbenzidine
98	Q8RVW0	H2O2
99	Q8RVW0	catechol
100	Q8RVW0	H2O2
101	Q8RVW0	p-coumaric acid
102	Q8RVW0	H2O2
103	Q8RVW0	pyrogallol
104	Q8RVW0	H2O2
105	Q8RVP6	guaiacol
106	Q8RVP6	H2O2
107	Q8RVP6	guaiacol
108	Q8RVP6	H2O2
109	Q8RVP6	chlorogenic acid
110	Q8RVP6	H2O2
111	Q8RVP6	4-methylcatechol
112	Q8RVP6	H2O2
113	Q8RVP6	benzoic acid
114	Q8RVP6	H2O2
115	Q8RVP6	catechin
116	Q8RVP6	H2O2
117	Q8RVP6	tetramethylbenzidine
118	Q8RVP6	H2O2
119	Q8RVP6	catechol
120	Q8RVP6	H2O2
121	Q8RVP6	p-coumaric acid
122	Q8RVP6	H2O2
123	Q8RVP6	pyrogallol
124	Q8RVP6	H2O2
125	Q5LLG6	o-dianisidine
126	Q5LLG6	H2O2
127	Q5LLG6	more
128	Q5LLG6	pyrogallol
129	Q5LLG6	H2O2
130	Q5LLG6	NADH
131	Q5LLG6	H2O2
132	Q5LLG6	NADPH
133	Q5LLG6	H2O2
134	A1KZ92	3,3',5,5'-tetramethylbenzidine
135	A1KZ92	H2O2
136	A1KZ92	luminol
137	A1KZ92	H2O2
138	Q92626	3,3',5,5'-tetramethylbenzidine
139	Q92626	H2O2
140	Q92626	luminol
141	Q92626	H2O2
142	P80025	o-dianisidine
143	P80025	H2O2
144	P80025	reduced 2,2'-azino-bis-(3-ethylbenzthiazole-6-sulfonic acid)
145	P80025	H2O2
146	P80025	benzohydroxamic acid
147	P80025	H2O2
148	P80025	mitoxanthrone
149	P80025	H2O2
150	P80025	o-anisidine
151	P80025	H2O2
152	P80025	thiocyanate
153	P80025	H2O2
154	Q66A71	guaiacol
155	Q66A71	H2O2
156	Q66A71	guaiacol
157	Q66A71	H2O2
158	P00433	guaiacol
159	P00433	H2O2
160	P00433	guaiacol
161	P00433	H2O2
162	P00433	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
163	P00433	H2O2
164	P00433	ferulic acid
165	P00433	H2O2
166	P00433	reduced 2,2'-azino-bis-(3-ethylbenzthiazole-6-sulfonic acid)
167	P00433	H2O2
168	P00433	benzhydroxamic acid
169	P00433	H2O2
170	P84516	reduced 2,2'-azino-bis-(3-ethylbenzthiazole-6-sulfonic acid)
171	P84516	H2O2
172	P84516	ferulic acid
173	P84516	H2O2
174	P84516	p-coumaric acid
175	P84516	H2O2
176	P84516	indole-3-acetic acid
177	P84516	H2O2
178	P84516	N-acetyl-L-tyrosine
179	P84516	H2O2
180	P84516	N-acetyl-L-tyrosine methyl ester
181	P84516	H2O2
0	P07202	guaiacol
1	P07202	H2O2
0	Q8MPM5	more
1	Q8MNZ6	more
2	Q8MNZ6	cumene hydroperoxide
3	Q8MNZ6	GSH
4	O22850	more
5	Q5XJZ8	H2O2
6	Q5XJZ8	GSH
7	Q5XJZ8	glutathione
8	Q5XJZ8	ROOH
9	Q5XJZ8	more
10	Q6PI42	H2O2
11	Q6PI42	GSH
12	Q6PI42	H2O2
13	Q6PI42	thioredoxin
14	P83645	tert-butylhydroperoxide
15	P83645	GSH
16	P22352	H2O2
17	P22352	GSH
18	P22352	glutathione
19	P22352	ROOH
20	P22352	2 glutathione
21	P22352	H2O2
22	P22352	H2O2
23	P22352	thioredoxin
24	P22352	1-palmitoyl-2-(13-hydroperoxy-cis-9, trans-11-octadecadienoyl)-L-3-phosphatidylcholine
25	P22352	2 GSH
26	P00435	H2O2
27	P00435	GSH
28	Q8TED1	H2O2
29	Q8TED1	GSH
30	Q8TED1	H2O2
31	Q8TED1	thioredoxin
32	P07203	H2O2
33	P07203	GSH
34	P07203	2 glutathione
35	P07203	H2O2
36	P07203	H2O2
37	P07203	thioredoxin
38	P18283	H2O2
39	P18283	GSH
40	P18283	H2O2
41	P18283	thioredoxin
42	O75715	H2O2
43	O75715	GSH
44	O75715	H2O2
45	O75715	thioredoxin
46	P59796	H2O2
47	P59796	GSH
48	P59796	H2O2
49	P59796	thioredoxin
50	Q96SL4	H2O2
51	Q96SL4	GSH
52	Q96SL4	H2O2
53	Q96SL4	thioredoxin
54	Q9VZQ8	phosphatidylcholine hydroperoxide
55	Q9VZQ8	thioredoxin
56	Q00277	H2O2
57	Q00277	GSH
58	Q00277	tert-butyl hydroperoxide
59	Q00277	2 GSH
60	Q1PBM1	H2O2
61	Q1PBM1	GSH
62	Q1PBM0	H2O2
63	Q1PBM0	GSH
64	B4YA17	H2O2
65	B4YA17	GSH
66	P67878	H2O2
67	P67878	GSH
68	Q86EQ5	H2O2
69	Q86EQ5	GSH
70	P04041	glutathione
71	P04041	tert-butyl hydroperoxide
72	H2CSR7	glutathione
73	H2CSR7	H2O2
74	T1RK19	glutathione
75	T1RK19	H2O2
76	Q5CV33	tert-butyl hydroperoxide
77	Q5CV33	2 GSH
78	Q5CV33	2 glutathione
79	Q5CV33	H2O2
80	Q5CV33	more
81	Q5CV33	cumene hydroperoxide
82	Q5CV33	2GSH
83	W5ZSQ6	2 glutathione
84	W5ZSQ6	H2O2
85	A0A1J0KJL1	cumene hydroperoxide
86	A0A1J0KJL1	2 GSH
87	A0A1J0KJL2	cumene hydroperoxide
88	A0A1J0KJL2	2 GSH
89	A0A1J0KJK8	cumene hydroperoxide
90	A0A1J0KJK8	2 GSH
91	A0A1J0KJL6	cumene hydroperoxide
92	A0A1J0KJL6	2 GSH
0	B9W4V6	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
1	B9W4V6	H2O2
2	B9W4V6	veratryl alcohol
3	B9W4V6	H2O2
4	B9W4V6	cyclohexane
5	B9W4V6	H2O2
6	B9W4V6	cyclohexanol
7	B9W4V6	H2O2
8	B9W4V6	methyl benzoate
9	B9W4V6	H2O2
10	B9W4V6	benzyl alcohol
11	B9W4V6	H2O2
12	B9W4V6	pyridine
13	B9W4V6	H2O2
14	B9W4V6	tetrahydrofuran
15	B9W4V6	H2O2
16	B9W4V6	veratryl alcohol
17	B9W4V6	H2O2
18	B9W4V6	H+
19	B9W4V6	5-nitro-1,3-benzodioxole
20	B9W4V6	H2O2
21	B9W4V6	naphthalene
22	B9W4V6	H2O2
23	B9W4V6	2 2,6-dimethoxyphenol
24	B9W4V6	2 H2O2
25	B9W4V6	(R)-2-phenoxyproprionic acid
26	B9W4V6	H2O2
27	B9W4V6	2 2,6-dimethoxyphenol
28	B9W4V6	2 H2O2
29	B9W4V6	2,3-dimethylbutane
30	B9W4V6	H2O2
31	B9W4V6	2-methyl-2-butene
32	B9W4V6	H2O2
33	B9W4V6	3,4-dimethoxybenzylmethyl ether
34	B9W4V6	H2O2
35	B9W4V6	acetanilide
36	B9W4V6	H2O2
37	B9W4V6	benzene
38	B9W4V6	H2O2
39	B9W4V6	carbamazepine
40	B9W4V6	H2O2
41	B9W4V6	daidzein
42	B9W4V6	H2O2
43	B9W4V6	diclofenac
44	B9W4V6	H2O2
45	B9W4V6	diethyl ether
46	B9W4V6	H2O2
47	B9W4V6	ethylbenzene
48	B9W4V6	H2O2
49	B9W4V6	flavone
50	B9W4V6	H2O2
51	B9W4V6	lauric acid
52	B9W4V6	H2O2
53	B9W4V6	lidocaine
54	B9W4V6	H2O2
55	B9W4V6	n-heptane
56	B9W4V6	H2O2
57	B9W4V6	phenol
58	B9W4V6	H2O2
59	B9W4V6	propane
60	B9W4V6	H2O2
61	B9W4V6	propranolol
62	B9W4V6	H2O2
63	B9W4V6	sildenafil
64	B9W4V6	H2O2
65	B9W4V6	toluene
66	B9W4V6	H2O2
67	B9W4V6	2,6-dimethoxyphenol
68	B9W4V6	H2O2
69	B9W4V6	4-ethylbenzoic acid
70	B9W4V6	H2O2
71	B9W4V6	4-isoprophylbenzoic acid
72	B9W4V6	H2O2
73	B9W4V6	4-nitrophenoxycarboxylic acid
74	B9W4V6	H2O2
75	B9W4V6	fluorene
76	B9W4V6	H2O2
77	Q972I2	more
78	Q972I2	ethylbenzene
79	Q972I2	H2O2
80	Q2HHI5	2,2'-azinobis(3-ethylbenzthiazoline-6-sulfonic acid)
81	Q2HHI5	H2O2
82	Q2HHI5	more
83	Q2HHI5	veratryl alcohol
84	Q2HHI5	H2O2
85	Q2HHI5	5-nitro-1,3-benzodioxole
86	Q2HHI5	H2O2
87	Q2HHI5	naphthalene
88	Q2HHI5	H2O2
89	Q2HHI5	2,6-dimethoxyphenol
90	Q2HHI5	H2O2
91	Q2HHI5	testosterone
92	Q2HHI5	H2O2
0	P05164	Cl-
1	P05164	H2O2
2	P05164	H+
3	P05164	I-
4	P05164	H2O2
5	P05164	10-acetyl-3,7-dihydroxyphenoxazine
6	P05164	H2O2
7	P05164	H+
8	P05164	Br-
9	P05164	H2O2
10	P05164	H+
11	P05164	Cl-
12	P05164	H2O2
13	P05164	I-
14	P05164	H2O2
15	P05164	H+
16	P05164	ascorbate
17	P05164	H2O2
18	P05164	more
19	P05164	thiocyanate
20	P05164	H2O2
21	P05164	tyrosine
22	P05164	H2O2
23	P05164	Cl-
24	P05164	H2O2
25	P05164	H+
26	P05164	taurine
27	P05164	H+
28	P05164	2,2'-azino-bis-(3-ethylbenzthiazole-6-sulfonic acid)
29	P05164	H2O2
30	P05164	H+
31	P05164	3,3',5,5'-tetramethylbenzidine
32	P05164	H2O2
33	P05164	H+
34	P05164	Br-
35	P05164	H2O2
36	P05164	Cl-
37	P05164	H2O2
38	P05164	L-tyrosine
39	P05164	Cl-
40	P05164	H2O2
41	P05164	H+
42	P05164	L-tyrosine
43	P05164	H2O2
44	P05164	H+
45	P05164	L-tyrosine
46	P05164	H2O2
47	P05164	H+
48	P05164	SCN-
49	P05164	H2O2
50	P05164	hydroethidine
51	P05164	Cl-
52	P05164	H2O2
53	P05164	H+
54	P05164	low density lipoprotein
55	P05164	H2O2
56	P05164	H+
57	P05164	low-density lipoprotein
58	P05164	Cl-
59	P05164	H2O2
60	P05164	nitric oxide
61	P05164	H2O2
62	P05164	nitrite
63	P05164	H2O2
64	P05164	o-dianisidine
65	P05164	H2O2
66	P05164	H+
67	P05164	quercetin
68	P05164	H2O2
69	P05164	serotonin
70	P05164	H2O2
71	P05164	H+
72	P05164	serotonin
73	P05164	H2O2
74	P05164	serotonin
75	P05164	superoxide
76	P05164	taurine
77	P05164	Cl-
78	P05164	H2O2
79	P05164	thiocyanate
80	P05164	H2O2
81	P05164	H+
82	P05164	thiocyanate
83	P05164	H2O2
84	P05164	H+
85	P05164	tyrosine
86	P05164	H2O2
87	P05164	urate
88	P05164	H2O2
89	P05164	H+
0	Q9CAB7	linolenic acid
1	Q9CAB7	cumene hydroperoxide
2	Q9CAB7	more
3	Q9CAB7	linoleic acid
4	Q9CAB7	cumene hydroperoxide
5	G1JSL4	10-cis-heptadecenoic acid
6	G1JSL4	cumene hydroperoxide
7	G1JSL4	10-cis-pentadecenoic acid
8	G1JSL4	cumene hydroperoxide
9	G1JSL4	9-cis-hexadecenoic acid
10	G1JSL4	cumene hydroperoxide
11	G1JSL4	more
12	G1JSL4	oleic acid
13	G1JSL4	cumene hydroperoxide
14	G1JSL4	linoleic acid
15	G1JSL4	cumene hydroperoxide
16	O22788	13-hydroperoxy-9,11-octadecadienoic acid
17	O22788	H2O2
